season,episode,character,line
S07,E01,Ross," Hey, what’s going on?"
S07,E01,Chandler, Hey.
S07,E01,Ross," I found a note on my door, ""Come to Monica’s quick, bring champagne and a Three Musketeers bar."""
S07,E01,Joey, (grabbing the candy bar) Yeah I’ll take that.
S07,E01,Ross, What’s up?
S07,E01,Chandler, Monica and I are engaged.
S07,E01,Ross, Oh my God. (Hugs Chandler.) Congratulations.
S07,E01,Chandler, Thanks.
S07,E01,Ross, Where is she?
S07,E01,Monica, (yelling at the top of her lungs) I’m engaged!!!!!! I’m engaged!!!!
S07,E01,Joey," Yeah, she’s been out there for twenty minutes, I’m surprised you didn’t hear her on the way over."
S07,E01,Ross," Oh, I thought it was just a kid yelling, ""I’m gay! I’m gay!"" Can I bring her in?"
S07,E01,Phoebe," Oh no, let her stay out there. It’s sweet."
S07,E01,Monica," I’m getting married!!!! I’m gonna be a bride!!!! (Someone else yells at her.) No, I will not shut up because I’m engaged! (He yells again.) Ohh, big talk! Huh, why don’t you come over here and say that to me?!"
S07,E01,Chandler," (To Ross) Okay, you get her in here. (To Joey) You bolt the door. I’ll be in the closet."
S07,E01,Monica," Okay! Wait-wait-wait! Shhh! (Bangs on her class with a spoon to make a toast.) Okay, umm, I just wanna say that…I love you guys so-so much and-and thank you for being here on my special night. (Chandler clears"
S07,E01,Chandler," It’s okay, I want this to be your night too. (Raises his class.) To Monica."
S07,E01,Monica," Awww, come on—wait—stop it. Okay, to Monica."
S07,E01,Chandler, To Monica!
S07,E01,Phoebe," So have you decided on a band for the wedding? Because, y’know, I’m kinda musical."
S07,E01,Rachel," Yeah Pheebs, honey, she just got engaged a couple of hours ago. I doubt she’s even had time to…"
S07,E01,Phoebe," Well speaking of chiming in, remember the time you burned down my apartment?"
S07,E01,Rachel," (To Monica) Yeah, you’re on your own."
S07,E01,Monica, Y’know what we should do? We should all get dressed up and go to have champagne at The Plaza.
S07,E01,Joey," But I-I-I can’t stay too long, I gotta get up early for a commercial audition tomorrow and I gotta look good. I’m supposed to be playing a 19-year-old. (Everyone stops in their tracks upon hearing this.) What?"
S07,E01,Chandler," So when you said, ""Get up early,"" did you mean 1986?"
S07,E01,Joey, You guys don’t think I look 19?
S07,E01,Phoebe," Oh, 19! We thought you said 90!"
S07,E01,Monica," Okay everybody, let’s go! Let’s go!"
S07,E01,Rachel, Okay.
S07,E01,Chandler, Okay.
S07,E01,Joey," (To Phoebe) Hey, is uh the rest of my candy bar around here?"
S07,E01,Phoebe," Oh honey no, you ate it all."
S07,E01,Joey, I was afraid of that.
S07,E01,Monica, (looking at her hand) Y’know what shoes would look great with this ring? Diamond shoes! (Sees Chandler sitting on the bed.) You’re not getting dressed. (Chandler quietly folds over the comforter on the bed mak
S07,E01,Chandler, Know what I mean?
S07,E01,Monica," Yeah, but I don’t think we have time."
S07,E01,Chandler, There’s gonna be a wedding. You’re gonna be the bride. Two hundred people are going to be looking at you in a clean white dress.
S07,E01,Monica, (lustily) Let’s do it! (She kisses him and they fall back onto the bed.)
S07,E01,Monica," (chasing after him) Chandler! It happens to lots of guys! You-you-you were probably tired, you had a lot of champagne, don’t worry about it!"
S07,E01,Chandler," (motioning with his hands) I’m not worried, I’m uh, I’m fascinated. Y’know it’s like uh, Biology! Which is funny because in high school I uh, I-I failed Biology and tonight Biology failed me. (Exits as Phoeb"
S07,E01,Phoebe," Check it out. Okay, I can play this when the guests are coming in. Okay. (Singing)"
S07,E01,Monica, Phoebe!
S07,E01,Phoebe," If you would’ve let me finish, it goes on to say that he’s probably not gay."
S07,E01,Chandler," Sure, you guys don’t have this problem, you’re made of wood. (Rachel comes out of the bathroom) Hey!"
S07,E01,Rachel, Hey!
S07,E01,Chandler, You look great!
S07,E01,Rachel," (quietly) Oh, thanks."
S07,E01,Chandler, You okay over there?
S07,E01,Rachel," I don’t know, y’know? I feel a little umm… No, y’know what? Nevermind, I’m gonna be fine."
S07,E01,Chandler," Oh, don’t worry about it I mean you probably were tired, you had a lot of champagne, it happens to everybody."
S07,E01,Ross, Hey!
S07,E01,Rachel, Hi!
S07,E01,Ross, Wow! Happy Monica’s night!
S07,E01,Rachel," Well thank you, you too."
S07,E01,Ross, Thanks.
S07,E01,Rachel," Hey, do you believe this? Do you believe they are actually getting married?"
S07,E01,Ross, Well sure. But I get married all the time so…
S07,E01,Rachel, Ohh…
S07,E01,Ross, You okay?
S07,E01,Rachel," Yeah, I guess. I-I… I mean, do-do you think we’re ever gonna have that?"
S07,E01,Ross," You mean, we—you and me?"
S07,E01,Rachel," Oh no-no-no-no-no, no, no! We, you with someone and me with someone."
S07,E01,Ross," Oh good, you scared me for a minute."
S07,E01,Rachel, Shake it off.
S07,E01,Ross," I mean—no, it’s just ‘cause, it’s just ’cause you and I were like a nightmare. (Screams.) No, but there was some good times."
S07,E01,Rachel," No, absolutely. Y’know like it was umm…"
S07,E01,Ross, Surely you can think of something good.
S07,E01,Rachel," Yeah, just give me a minute! (Thinking) Oh well, yes, I can think of one good thing."
S07,E01,Ross, What?
S07,E01,Rachel," Well you uh, you were always really good at the uh, at the uh the stuff."
S07,E01,Ross, Yeah? I was good at the stuff huh?
S07,E01,Rachel," Uh-hmm, uh-hmm, yeah, yeah, I really liked your hands."
S07,E01,Ross, My hands?
S07,E01,Rachel, Yeah.
S07,E01,Ross, Yeah?
S07,E01,Rachel, Uh-huh.
S07,E01,Ross," (to his hands) Way to go guys. Y’know, you-you were really good at the stuff too."
S07,E01,Rachel," Oh, I know. Hey, y’know what we never did? (Ross looks at her.) Oh no, not that. (Ross nods okay.) We uh, we never had bonus night!"
S07,E01,Ross, A what?
S07,E01,Rachel," Y’know, bonus night. Y’know, when two people break up but they get back together for just one night."
S07,E01,Ross," One night, just-just sex. No strings attached?"
S07,E01,Rachel," Yeah-yeah, we never had that,"
S07,E01,Ross, No.
S07,E01,Ross," Okay, this is getting a little crazy. I mean, I’m-I’m sure it would be amazing but I…gotta say I really-really don’t think it would be a good idea. Y’know? I really, really…don’t."
S07,E01,Joey, ‘Sup? ‘Sup dude?
S07,E01,Chandler," (putting his hands up) Take whatever you want, just please don’t hurt me."
S07,E01,Joey," So you’re playing a little Playstation, huh? That’s whack! Playstation is whack! ‘Sup with the whack Playstation, ‘sup?! Huh? Come on, am I 19 or what?!"
S07,E01,Chandler," Yes, on a scale from 1 to 10, 10 being the dumbest a person can look, you are definitely 19."
S07,E01,Joey," Come on man, really how old?!"
S07,E01,Chandler," Young! You’re a man-child okay?! Now go get changed because everybody’s ready and please, oh please, keep my underwear!"
S07,E01,Joey, Wow thanks! (He goes into his bedroom and closes the door.)
S07,E01,Chandler, Joe?
S07,E01,Joey, Yeah!
S07,E01,Chandler," Uhh, you’ve had a lot of sex right?"
S07,E01,Joey," When? Today? Some, not a lot."
S07,E01,Chandler," Well, it’s just the reason that I’m asking is because I kind of eh, uh, I was unable to—I mean I really wanted too, but I couldn’t…. There huh—hmm, there-there was an incident."
S07,E01,Joey," Don’t worry about that man, that happens."
S07,E01,Chandler, It’s happened to you?
S07,E01,Joey, Yeah! Once.
S07,E01,Chandler," Well, what’d you do?"
S07,E01,Joey, I did it anyway.
S07,E01,Monica, Phoebe! Come on! Let’s go! (Knocks on her door.) Come on! (Phoebe enters with guitar and not ready to go.) Why aren’t you dressed yet?!
S07,E01,Phoebe," I’m sorry, but I just wrote the best dance song for your wedding. Check this out. (Gets ready to play.)"
S07,E01,Monica," (grabs the guitar away from her) No, Phoebe, I’ll tell you what, if you get ready now I’ll let you play it at the wedding."
S07,E01,Phoebe," Really?! Oh that’s so exciting! Thank you! Thanks Mon! Oh but Mon, if you touch my guitar again I’ll have to pound on you for a little bit."
S07,E01,Monica," Fair enough, now go get ready!"
S07,E01,Phoebe, Okay. (She goes to get ready.)
S07,E01,Monica," I’ll get everybody else (Does so), finally we can start celebrating my—(She gasps and is stopped by the sight of Ross and Rachel making out in the hall.) I’m sorry, uh apparently I’ve opened the door to the pa"
S07,E01,Ross," Okay, Monica. Mon, uh what-what you just saw…"
S07,E01,Monica," (interrupting) Can I ask you just a little question, huh? Why tonight?"
S07,E01,Rachel, What?
S07,E01,Monica," See, I’ve been waiting my whole life to be engaged, and unlike some people I’m only planning on doing this once. So, uh y’know, maybe this is selfish and I’m sorry about it, but I was kinda hoping tonight coul"
S07,E01,Rachel," Oh honey, but it is just about…"
S07,E01,Ross, It is! It is!
S07,E01,Monica, No it’s not! No! No! Now it’s about you and Ross getting back together!
S07,E01,Rachel, What?!
S07,E01,Monica," See yeah umm, you kinda stole my thunder!"
S07,E01,Ross, Okay! Ho-ho! We did not steal your thunder because we are not getting back together!
S07,E01,Rachel, Yeah. No. And you know what? Nobody even saw!
S07,E01,Ross, Yeah!
S07,E01,Monica, That’s true.
S07,E01,Rachel, Honey I swear it we just kissed.
S07,E01,Ross, It was just a kiss. (Phoebe enters and overhears this.)
S07,E01,Phoebe," You guys kissed!!!!! What does this mean?!! Are you, are you getting back together?! Can I sing at your wedding?"
S07,E01,Monica, Thunder being stolen!!
S07,E01,Rachel," Okay come on Phoebe, it’s nothing! Monica, come on!"
S07,E01,Ross, Look let’s not make a big deal out of this! It was a one time thing. It doesn’t even matter!
S07,E01,Joey, Oh my God! I cannot believe you guys are talking about this! The problems in the bedroom are between the man and the woman!!! All right?!! Now Chandler is doing the best he can!!
S07,E01,Chandler, (angrily) I don’t think that’s what they were talking about Joe!!
S07,E01,Phoebe," What a great night, Chandler can’t do it, these guys kissed… (Points to Ross and Rachel.)"
S07,E01,Joey, What?
S07,E01,Chandler, What?!
S07,E01,Joey, You guys kissed! Oh my—this is huge!
